@RELATION pokemon

@ATTRIBUTE Pokemon STRING
@ATTRIBUTE Tipo1 NUMERIC {1 - 18}
@ATTRIBUTE Tipo2 NUMERIC {1 - 18}
@ATTRIBUTE Ability1 STRING
@ATTRIBUTE Ability2 STRING
@ATTRIBUTE Ability3 STRING
@ATTRIBUTE class NUMERIC {1 - 12}
@ATTRIBUTE HP NUMERIC {1 - 255}
@ATTRIBUTE Atk NUMERIC {5 - 190}
@ATTRIBUTE Def NUMERIC {5 - 230}
@ATTRIBUTE SpA NUMERIC {10 - 194}
@ATTRIBUTE SpD NUMERIC {20 - 230}
@ATTRIBUTE Spe NUMERIC {5 - 180}

@DATA
Abomasnow,1,14,Snow-Warning,Soundproof,N,6,90,92,75,92,85,60
Abomasnow-Mega,1,14,Snow-Warning,N,N,5,90,132,105,132,105,30
Abra,10,10,Inner-Focus,Synchronize,Magic-Guard,4,25,20,15,105,55,90
Absol,17,17,Justified,Super-Luck,Pressure,9,65,130,60,75,60,75
Absol-Mega,17,17,Magic-Bounce,N,N,11,65,150,60,115,60,115
Accelgor,4,4,Hydration,Unburden,Sticky-Hold,9,80,70,40,100,60,145
Aegislash,13,16,Stance-Change,N,N,10,60,50,150,50,150,60
Aegislash-Blade,13,16,Stance-Change,N,N,10,60,150,50,150,50,60
Aerodactyl,12,11,Pressure,Unnerve,Rock-Head,9,80,105,65,60,75,130
Aerodactyl-Mega,12,11,Tough-Claws,N,N,11,80,135,85,70,95,150
Aggron,11,16,Heavy-Metal,Sturdy,Rock-Head,6,70,110,180,60,60,50
Aggron-Mega,16,16,Filter,N,N,5,70,140,230,60,80,50
Aipom,5,5,Pickup,Skill-Link,Run-Away,4,55,70,55,40,55,85
Alakazam,10,10,Inner-Focus,Synchronize,Magic-Guard,2,55,50,45,135,95,120
Alakazam-Mega,10,10,Trace,N,N,7,55,50,65,175,105,150
Alomomola,3,3,Healer,Regenerator,Hydration,11,165,75,80,40,45,65
Altaria,15,12,Cloud-Nine,Natural-Cure,N,8,75,70,90,70,105,80
Altaria-Mega,15,18,Pixilate,N,N,5,75,110,110,110,105,80
Amaura,14,11,Refrigerate,Snow-Warning,N,4,77,59,50,67,63,46
Ambipom,5,5,Pickup,Technician,Skill-Link,9,75,100,66,60,66,115
Amoonguss,1,6,Effect-Spore,Regenerator,N,11,114,85,70,85,80,30
Ampharos,7,7,Plus,Static,N,8,90,75,85,115,90,55
Ampharos-Mega,15,7,Mold-Breaker,N,N,5,90,95,105,165,110,45
Anorith,4,11,Battle-Armor,Swift-Swim,N,4,45,95,50,40,50,75
Araquanid,4,3,Water-Absorb,Water-Bubble,N,9,68,70,92,50,132,42
Arbok,6,6,Intimidate,Unnerve,Shed-Skin,8,60,95,69,65,79,80
Arcanine,2,2,Flash-Fire,Justified,Intimidate,11,90,110,80,100,80,95
Arceus,5,5,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Bug,4,4,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Dark,17,17,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Dragon,15,15,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Electric,7,7,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Fairy,18,18,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Fighting,9,9,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Fire,2,2,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Flying,12,12,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Ghost,13,13,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Grass,1,1,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Ground,8,8,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Ice,14,14,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Poison,6,6,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Psychic,10,10,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Rock,11,11,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Steel,16,16,Multitype,N,N,10,120,120,120,120,120,120
Arceus-Water,3,3,Multitype,N,N,10,120,120,120,120,120,120
Archen,12,11,Defeatist,N,N,4,55,112,45,74,45,70
Archeops,12,11,Defeatist,N,N,6,75,140,65,112,65,110
Ariados,4,6,Insomnia,Swarm,Sniper,8,70,90,70,60,70,40
Armaldo,4,11,Battle-Armor,Swift-Swim,N,8,75,125,100,70,80,45
Aromatisse,18,18,Aroma-Veil,Healer,N,9,101,72,72,99,89,29
Aron,11,16,Heavy-Metal,Sturdy,Rock-Head,4,50,70,100,40,40,30
Articuno,12,14,Pressure,Snow-Cloak,N,8,90,85,100,95,125,85
Audino,5,5,Healer,Regenerator,Klutz,8,103,60,86,60,86,50
Audino-Mega,18,5,Healer,N,N,5,103,60,126,80,126,50
Aurorus,14,11,Refrigerate,Snow-Warning,N,6,123,77,72,99,92,58
Avalugg,14,14,Ice-Body,Sturdy,Own-Tempo,8,95,117,184,44,46,28
Axew,15,15,Mold-Breaker,Unnerve,Rivalry,4,46,87,60,30,40,57
Azelf,10,10,Levitate,N,N,11,75,125,70,125,70,115
Azumarill,18,3,Huge-Power,Thick-Fat,Sap-Sipper,2,100,50,80,60,80,50
Azurill,18,5,Huge-Power,Thick-Fat,Sap-Sipper,4,50,20,40,20,40,20
Bagon,15,15,Rock-Head,Sheer-Force,N,4,45,75,60,40,30,50
Baltoy,8,10,Levitate,N,N,4,40,40,55,40,70,55
