@RELATION pokemonNew

@ATTRIBUTE Pokemon NUMERIC
@ATTRIBUTE Tipo1 NUMERIC 
@ATTRIBUTE Tipo2 NUMERIC 
@ATTRIBUTE Ability1 STRING
@ATTRIBUTE Ability2 STRING
@ATTRIBUTE Ability3 STRING
@ATTRIBUTE class {1,2,3,4,5,6,7,8,9,10,11,12}
@ATTRIBUTE HP REAL 
@ATTRIBUTE Atk REAL
@ATTRIBUTE Def REAL 
@ATTRIBUTE SpA REAL 
@ATTRIBUTE SpD REAL
@ATTRIBUTE Spe REAL 

@DATA
1,1,14,Snow-Warning,Soundproof,N,6,90,92,75,92,85,60
2,1,14,Snow-Warning,N,N,5,90,132,105,132,105,30
3,10,10,Inner-Focus,Synchronize,Magic-Guard,4,25,20,15,105,55,90
4,17,17,Justified,Super-Luck,Pressure,9,65,130,60,75,60,75
5,17,17,Magic-Bounce,N,N,11,65,150,60,115,60,115
6,4,4,Hydration,Unburden,Sticky-Hold,9,80,70,40,100,60,145
7,13,16,Stance-Change,N,N,10,60,50,150,50,150,60
8,13,16,Stance-Change,N,N,10,60,150,50,150,50,60
9,12,11,Pressure,Unnerve,Rock-Head,9,80,105,65,60,75,130
10,12,11,Tough-Claws,N,N,11,80,135,85,70,95,150
11,11,16,Heavy-Metal,Sturdy,Rock-Head,6,70,110,180,60,60,50
12,16,16,Filter,N,N,5,70,140,230,60,80,50
13,5,5,Pickup,Skill-Link,Run-Away,4,55,70,55,40,55,85
14,10,10,Inner-Focus,Synchronize,Magic-Guard,2,55,50,45,135,95,120
15,10,10,Trace,N,N,7,55,50,65,175,105,150
16,3,3,Healer,Regenerator,Hydration,11,165,75,80,40,45,65
17,15,12,Cloud-Nine,Natural-Cure,N,8,75,70,90,70,105,80
18,15,18,Pixilate,N,N,5,75,110,110,110,105,80
19,14,11,Refrigerate,Snow-Warning,N,4,77,59,50,67,63,46
20,5,5,Pickup,Technician,Skill-Link,9,75,100,66,60,66,115
21,1,6,Effect-Spore,Regenerator,N,11,114,85,70,85,80,30
22,7,7,Plus,Static,N,8,90,75,85,115,90,55
23,15,7,Mold-Breaker,N,N,5,90,95,105,165,110,45
24,4,11,Battle-Armor,Swift-Swim,N,4,45,95,50,40,50,75
25,4,3,Water-Absorb,Water-Bubble,N,9,68,70,92,50,132,42
26,6,6,Intimidate,Unnerve,Shed-Skin,8,60,95,69,65,79,80
27,2,2,Flash-Fire,Justified,Intimidate,11,90,110,80,100,80,95
28,5,5,Multitype,N,N,10,120,120,120,120,120,120
29,4,4,Multitype,N,N,10,120,120,120,120,120,120
30,17,17,Multitype,N,N,10,120,120,120,120,120,120
31,15,15,Multitype,N,N,10,120,120,120,120,120,120
32,7,7,Multitype,N,N,10,120,120,120,120,120,120
33,18,18,Multitype,N,N,10,120,120,120,120,120,120
34,9,9,Multitype,N,N,10,120,120,120,120,120,120
35,2,2,Multitype,N,N,10,120,120,120,120,120,120
36,12,12,Multitype,N,N,10,120,120,120,120,120,120
37,13,13,Multitype,N,N,10,120,120,120,120,120,120
38,1,1,Multitype,N,N,10,120,120,120,120,120,120
39,8,8,Multitype,N,N,10,120,120,120,120,120,120
40,14,14,Multitype,N,N,10,120,120,120,120,120,120
41,6,6,Multitype,N,N,10,120,120,120,120,120,120
42,10,10,Multitype,N,N,10,120,120,120,120,120,120
43,11,11,Multitype,N,N,10,120,120,120,120,120,120
44,16,16,Multitype,N,N,10,120,120,120,120,120,120
45,3,3,Multitype,N,N,10,120,120,120,120,120,120
46,12,11,Defeatist,N,N,4,55,112,45,74,45,70
47,12,11,Defeatist,N,N,6,75,140,65,112,65,110
48,4,6,Insomnia,Swarm,Sniper,8,70,90,70,60,70,40
49,4,11,Battle-Armor,Swift-Swim,N,8,75,125,100,70,80,45
50,18,18,Aroma-Veil,Healer,N,9,101,72,72,99,89,29
51,11,16,Heavy-Metal,Sturdy,Rock-Head,4,50,70,100,40,40,30
52,12,14,Pressure,Snow-Cloak,N,8,90,85,100,95,125,85
53,5,5,Healer,Regenerator,Klutz,8,103,60,86,60,86,50
54,18,5,Healer,N,N,5,103,60,126,80,126,50
55,14,11,Refrigerate,Snow-Warning,N,6,123,77,72,99,92,58
56,14,14,Ice-Body,Sturdy,Own-Tempo,8,95,117,184,44,46,28
57,15,15,Mold-Breaker,Unnerve,Rivalry,4,46,87,60,30,40,57
58,10,10,Levitate,N,N,11,75,125,70,125,70,115
59,18,3,Huge-Power,Thick-Fat,Sap-Sipper,2,100,50,80,60,80,50
60,18,5,Huge-Power,Thick-Fat,Sap-Sipper,4,50,20,40,20,40,20
61,15,15,Rock-Head,Sheer-Force,N,4,45,75,60,40,30,50
62,8,10,Levitate,N,N,4,40,40,55,40,70,55
63,13,13,Cursed-Body,Insomnia,Frisk,8,64,115,65,83,63,65
64,13,13,Prankster,N,N,5,64,165,75,93,83,75
65,11,3,Pickpocket,Tough-Claws,Sniper,6,72,105,115,54,86,68
66,8,3,Anticipation,Oblivious,Hydration,4,50,48,43,46,41,60
67,3,3,Adaptability,Reckless,Mold-Breaker,8,70,92,65,80,55,98
68,3,3,Adaptability,Rock-Head,Mold-Breaker,8,70,92,65,80,55,98
69,1,1,Leaf-Guard,Overgrow,N,12,60,62,80,63,80,60
70,14,14,Slush-Rush,Swift-Swim,Snow-Cloak,8,95,130,80,70,80,50
71,4,12,Rivalry,Swarm,N,8,60,70,50,100,50,65
72,4,6,Sniper,Swarm,N,8,65,90,40,45,80,75
73,4,6,Adaptability,N,N,7,65,150,40,15,80,145
74,10,10,Analytic,Telepathy,Synchronize,8,75,75,75,125,95,40
75,10,16,Clear-Body,Light-Metal,N,4,40,55,80,35,60,30
76,1,1,Chlorophyll,Healer,N,8,75,80,95,90,100,50
77,1,6,Chlorophyll,Gluttony,N,4,50,75,35,70,30,40
78,14,14,Ice-Body,Sturdy,Own-Tempo,4,56,69,86,32,36,28
79,9,5,Fluffy,Unnerve,Klutz,3,120,125,80,55,60,60
80,5,3,Moody,Unaware,Simple,8,79,85,60,55,60,71
81,5,5,Moody,Unaware,Simple,4,59,45,40,35,40,31
82,11,3,Pickpocket,Tough-Claws,Sniper,4,42,52,67,39,56,50
83,17,16,Defiant,Pressure,Inner-Focus,11,65,125,100,60,70,70
84,3,3,Rain-Dish,Torrent,N,9,79,83,100,85,105,78
85,3,3,Mega-Launcher,N,N,11,79,103,120,135,115,78
86,9,2,Blaze,Speed-Boost,N,10,80,120,70,110,70,80
87,9,2,Speed-Boost,N,N,5,80,160,80,130,80,100
88,5,5,Healer,Serene-Grace,Natural-Cure,11,255,10,10,75,135,55
89,7,7,Lightning-Rod,Sap-Sipper,Motor-Drive,4,45,60,32,50,32,76
90,11,11,Sand-Force,Weak-Armor,Sturdy,12,70,105,105,50,40,20
91,11,11,Rattled,Sturdy,Rock-Head,4,50,80,95,10,45,10
92,5,5,Reckless,Soundproof,Sap-Sipper,8,95,110,95,40,95,55
93,1,1,Leaf-Guard,Sweet-Veil,Oblivious,4,42,30,38,30,38,32
94,2,2,Blaze,Magician,N,12,59,59,58,90,70,73
95,12,5,Defiant,Sheer-Force,Keen-Eye,9,100,123,75,57,75,80
96,9,1,Effect-Spore,Technician,Poison-Heal,2,60,130,80,60,60,70
97,3,3,Liquid-Voice,Torrent,N,12,60,69,69,91,81,50
98,10,16,Heatproof,Levitate,Heavy-Metal,9,67,89,116,79,116,33
99,10,16,Heatproof,Levitate,Heavy-Metal,4,57,24,86,24,86,23
100,10,3,Dazzling,Wonder-Skin,Strong-Jaw,9,68,105,70,70,70,92
101,1,6,Leaf-Guard,Poison-Point,Natural-Cure,4,40,30,35,50,70,55
102,3,3,Swift-Swim,Water-Veil,N,4,55,65,35,60,30,85
103,1,6,Chlorophyll,Overgrow,N,4,45,49,49,65,65,45
104,5,5,Klutz,Run-Away,Limber,4,55,66,44,44,56,85
105,5,5,Cheek-Pouch,Pickup,Huge-Power,4,38,36,38,32,36,57
106,4,4,Overcoat,Shed-Skin,N,4,40,29,45,29,45,36
107,4,12,Compound-Eyes,Tinted-Lens,N,8,60,45,50,90,80,70
108,4,9,Beast-Boost,N,N,7,107,139,139,53,53,79
109,1,1,Sand-Veil,Water-Absorb,N,4,50,85,40,85,40,35
110,17,1,Sand-Veil,Water-Absorb,N,8,70,115,60,115,60,55
111,2,8,Anger-Point,Solid-Rock,Magma-Armor,8,70,100,70,105,75,40
112,2,8,Sheer-Force,N,N,5,70,120,100,145,105,20
113,18,11,Clear-Body,Sturdy,N,8,50,50,150,50,150,50
114,1,1,Levitate,N,N,8,74,100,72,90,72,46
115,11,3,Solid-Rock,Swift-Swim,Sturdy,8,74,108,133,83,65,32
116,17,3,Rough-Skin,Speed-Boost,N,4,45,90,20,65,20,65
117,4,4,Shed-Skin,N,N,12,50,35,55,25,25,15
118,5,5,Forecast,N,N,8,70,70,70,70,70,70
119,4,4,Run-Away,Shield-Dust,N,4,45,30,35,20,20,45
120,1,10,Natural-Cure,N,N,11,100,100,100,100,100,100
121,12,16,Beast-Boost,N,N,7,97,101,103,107,101,61
122,2,13,Flame-Body,Infiltrator,Flash-Fire,11,60,55,90,145,90,80
123,5,5,Healer,Serene-Grace,Natural-Cure,7,250,5,5,35,105,50
